Angle,Coarse(deg),Fine(deg),Reference(deg),CoarseError(deg),FineError(deg)
Roll,0.062791,0.005430,0.003000,+0.059791,+0.002430
Pitch,0.016837,-0.016329,-0.017000,+0.033837,+0.000671
Heading,330.716875,330.716875,330.642000,+0.074875,+0.074875

Coarse_L2,0.101618
Fine_L2,0.074918
